ページ/コマ,場面・背景（AI画像生成用のプロンプト案含む）,キャラクターの動き・表情,セリフ,モノローグ（心の声・ナレーション）
1/1,税理士事務所のデスク。文字がぎっしり詰まったLP画面とチラシ。夜、室内照明、リアル寄りのビジネス漫画タッチ、青系トーン。,ユカが画面を見て軽く眉を下げる。手には赤ペン、肩が少し落ちる。,内容には自信があるのに、なかなか読んでもらえない…,良いサービスでも、伝わり方が難しいと選ばれにくい。
1/2,相談者がスマホでLPを開いてすぐ閉じるカット。画面には細かい文字の段落。シンプル背景、視線誘導あり。,相談者は困り顔、ユカはその様子を見て気づく表情。,むずかしくて、どこが自分向けか分からないです…,悩み提示はここで完了。問題はサービスではなく、伝え方。
1/3,ユカの顔アップ。背景に小さく『読まれない』『差が伝わらない』の文字演出。白背景に効果線。,ユカが前を向き、目に力が入る。,よし。5秒で伝わる形に変えよう。,ここから、ユカの強みと漫画の強みで流れを変える。
2/1,オンライン面談。ユカと士業の依頼者。温かい色味、安心感のある背景、ノートPCとメモ。,ユカはうなずきながら丁寧に聞く。依頼者は話しやすくなり表情が緩む。,まずは、普段どんな相談が多いか教えてください。,ユカの強み1。深く聞いて、本人も気づかない価値を引き出す。
2/2,ホワイトボードに『お客様の不安』『伝える順番』『やさしい言葉』のメモ。ビジネス漫画、見やすい構図。,ユカがペンで整理、依頼者は驚きと納得の表情。,専門用語は使わず、日常の言葉に置きかえましょう。,ユカは“難しい話”を“分かる話”へ翻訳する。
2/3,付箋が整理された企画ボード。『誰に』『何を』『どう届くか』がシンプルに並ぶ。,ユカと依頼者が同じボードを見て笑顔でうなずく。,伝える内容はそのまま。見せ方だけ変えます。,価値を削らず、伝わりやすさを最大化する設計。
3/1,左右比較。左:文字だけLP、右:漫画入りLP。右側に視線が集まる演出。明快でポップなビジネス漫画。,ユカが比較パネルを指し示し、自信のある笑顔。,漫画なら、ひと目で内容がつかめます。,漫画の強み1。5秒で全体像が伝わる。
3/2,読者のスマホ画面。コマをスワイプしながら最後まで読む様子。SNS投稿風レイアウト。,読者は真剣な表情から安心した表情へ変化。,これなら最後まで読めるし、相談の流れも分かる！,漫画の強み2。離脱されにくく、最後まで伝え切れる。
3/3,依頼者のサービスが漫画内で生活シーンとして描かれる。家計や手続きで助かる場面。,読者が『自分ごと』としてうなずく。ユカは見守る穏やかな表情。,むずかしいサービスが、急に身近に感じます。,漫画の強み3。感情が動き、信頼の入口ができる。
4/1,ユカがPCでLP、スマホでSNS、紙のチラシを同時に確認。導線図が背景に重なる。,ユカがテンポよく作業。集中しつつ明るい表情。,ホームページ、SNS、チラシ。全部つながるように配置します。,ユカの強み2。作って終わりではなく、届け方まで設計。
4/2,CTAボタン『無料相談はこちら』に矢印演出。LINE登録や問い合わせフォームの導線図。,ユカが依頼者に説明し、依頼者は安心した笑顔。,見た人が迷わず次の行動に進めるようにします。,ユカの強み3。売上につながる一歩まで丁寧に導く。
4/3,通知が増えるスマホ画面。『お問い合わせありがとうございます』のメッセージが複数。,依頼者が驚いて笑顔、ユカは控えめにガッツポーズ。,問い合わせ、ほんとに増えてる…！,伝え方が変わると、反応が変わる。
5/1,事務所で相談者と笑顔で面談。机上には漫画入り資料。明るい朝の光、信頼感ある雰囲気。,相談者は前のめり、依頼者は落ち着いて説明、ユカは同席して見守る。,最初から内容が分かっていたので、安心して相談できました。,理解された状態で会えるから、商談が前に進みやすい。
5/2,ブランドイメージが整ったHPとSNSの画面。『選ばれる理由』が漫画で表示される。,依頼者が自信を持って立つ。ユカも隣で微笑む。,価格じゃなく、価値で選ばれるようになりました。,ブランディングと売上アップを同時に支えるのが、ユカの漫画設計。
5/3,ラストカット。ユカが画面越しに読者へ呼びかけ。背景に柔らかな光と吹き出し演出。,ユカがまっすぐ前を見て、親しみのある笑顔で手を差し出す。,伝わりにくい価値こそ、漫画で伝えましょう。,ユカが、あなたの強みを5秒で伝わる物語に変える。
